step,start_cycle,result_cycle,cycles
289,336689,337853,1164
290,337854,339018,1164
291,339019,340183,1164
292,340184,341348,1164
293,341349,342513,1164
294,342514,343678,1164
295,343679,344843,1164
296,344844,346008,1164
297,346009,347173,1164
298,347174,348338,1164
299,348339,349503,1164
300,349504,350668,1164
301,350669,351833,1164
302,351834,352998,1164
303,352999,354163,1164
304,354164,355328,1164
305,355329,356493,1164
306,356494,357658,1164
307,357659,358823,1164
308,358824,359988,1164
309,359989,361153,1164
310,361154,362318,1164
311,362319,363483,1164
312,363484,364648,1164
313,364649,365813,1164
314,365814,366978,1164
315,366979,368143,1164
316,368144,369308,1164
317,369309,370473,1164
318,370474,371638,1164
319,371639,372803,1164
320,372804,373968,1164
321,373969,375133,1164
322,375134,376298,1164
323,376299,377463,1164
324,377464,378628,1164
325,378629,379793,1164
326,379794,380958,1164
327,380959,382123,1164
328,382124,383288,1164
329,383289,384453,1164
330,384454,385618,1164
331,385619,386783,1164
332,386784,387948,1164
333,387949,389113,1164
334,389114,390278,1164
335,390279,391443,1164
336,391444,392608,1164
337,392609,393773,1164
338,393774,394938,1164
339,394939,396103,1164
340,396104,397268,1164
341,397269,398433,1164
342,398434,399598,1164
343,399599,400763,1164
344,400764,401928,1164
345,401929,403093,1164
346,403094,404258,1164
347,404259,405423,1164
348,405424,406588,1164
349,406589,407753,1164
350,407754,408918,1164
351,408919,410083,1164
352,410084,411248,1164
353,411249,412413,1164
354,412414,413578,1164
355,413579,414743,1164
356,414744,415908,1164
357,415909,417073,1164
358,417074,418238,1164
359,418239,419403,1164
360,419404,420568,1164
361,420569,421733,1164
362,421734,422898,1164
363,422899,424063,1164
364,424064,425228,1164
365,425229,426393,1164
366,426394,427558,1164
367,427559,428723,1164
368,428724,429888,1164
369,429889,431053,1164
370,431054,432218,1164
371,432219,433383,1164
372,433384,434548,1164
373,434549,435713,1164
374,435714,436878,1164
375,436879,438043,1164
376,438044,439208,1164
377,439209,440373,1164
378,440374,441538,1164
379,441539,442703,1164
380,442704,443868,1164
381,443869,445033,1164
382,445034,446198,1164
383,446199,447363,1164
384,447364,448528,1164
385,448529,449693,1164
386,449694,450858,1164
387,450859,452023,1164
388,452024,453188,1164
389,453189,454353,1164
390,454354,455518,1164
391,455519,456683,1164
392,456684,457848,1164
393,457849,459013,1164
394,459014,460178,1164
395,460179,461343,1164
396,461344,462508,1164
397,462509,463673,1164
398,463674,464838,1164
399,464839,466003,1164
400,466004,467168,1164
401,467169,468333,1164
402,468334,469498,1164
403,469499,470663,1164
404,470664,471828,1164
405,471829,472993,1164
406,472994,474158,1164
407,474159,475323,1164
408,475324,476488,1164
409,476489,477653,1164
410,477654,478818,1164
411,478819,479983,1164
412,479984,481148,1164
413,481149,482313,1164
414,482314,483478,1164
415,483479,484643,1164
416,484644,485808,1164
417,485809,486973,1164
418,486974,488138,1164
419,488139,489303,1164
420,489304,490468,1164
421,490469,491633,1164
422,491634,492798,1164
423,492799,493963,1164
424,493964,495128,1164
425,495129,496293,1164
426,496294,497458,1164
427,497459,498623,1164
428,498624,499788,1164
429,499789,500953,1164
430,500954,502118,1164
431,502119,503283,1164
432,503284,504448,1164
433,504449,505613,1164
434,505614,506778,1164
435,506779,507943,1164
436,507944,509108,1164
437,509109,510273,1164
438,510274,511438,1164
439,511439,512603,1164
440,512604,513768,1164
441,513769,514933,1164
442,514934,516098,1164
443,516099,517263,1164
444,517264,518428,1164
445,518429,519593,1164
446,519594,520758,1164
447,520759,521923,1164
448,521924,523088,1164
449,523089,524253,1164
450,524254,525418,1164
451,525419,526583,1164
452,526584,527748,1164
453,527749,528913,1164
454,528914,530078,1164
455,530079,531243,1164
456,531244,532408,1164
457,532409,533573,1164
458,533574,534738,1164
459,534739,535903,1164
460,535904,537068,1164
461,537069,538233,1164
462,538234,539398,1164
463,539399,540563,1164
464,540564,541728,1164
465,541729,542893,1164
466,542894,544058,1164
467,544059,545223,1164
468,545224,546388,1164
469,546389,547553,1164
470,547554,548718,1164
471,548719,549883,1164
472,549884,551048,1164
473,551049,552213,1164
474,552214,553378,1164
475,553379,554543,1164
476,554544,555708,1164
477,555709,556873,1164
478,556874,558038,1164
479,558039,559203,1164
480,559204,560368,1164
481,560369,561533,1164
482,561534,562698,1164
483,562699,563863,1164
484,563864,565028,1164
485,565029,566193,1164
486,566194,567358,1164
487,567359,568523,1164
488,568524,569688,1164
489,569689,570853,1164
490,570854,572018,1164
491,572019,573183,1164
492,573184,574348,1164
493,574349,575513,1164
494,575514,576678,1164
495,576679,577843,1164
496,577844,579008,1164
497,579009,580173,1164
498,580174,581338,1164
499,581339,582503,1164
