step,start_cycle,result_cycle,cycles
289,356919,358153,1234
290,358154,359388,1234
291,359389,360623,1234
292,360624,361858,1234
293,361859,363093,1234
294,363094,364328,1234
295,364329,365563,1234
296,365564,366798,1234
297,366799,368033,1234
298,368034,369268,1234
299,369269,370503,1234
300,370504,371738,1234
301,371739,372973,1234
302,372974,374208,1234
303,374209,375443,1234
304,375444,376678,1234
305,376679,377913,1234
306,377914,379148,1234
307,379149,380383,1234
308,380384,381618,1234
309,381619,382853,1234
310,382854,384088,1234
311,384089,385323,1234
312,385324,386558,1234
313,386559,387793,1234
314,387794,389028,1234
315,389029,390263,1234
316,390264,391498,1234
317,391499,392733,1234
318,392734,393968,1234
319,393969,395203,1234
320,395204,396438,1234
321,396439,397673,1234
322,397674,398908,1234
323,398909,400143,1234
324,400144,401378,1234
325,401379,402613,1234
326,402614,403848,1234
327,403849,405083,1234
328,405084,406318,1234
329,406319,407553,1234
330,407554,408788,1234
331,408789,410023,1234
332,410024,411258,1234
333,411259,412493,1234
334,412494,413728,1234
335,413729,414963,1234
336,414964,416198,1234
337,416199,417433,1234
338,417434,418668,1234
339,418669,419903,1234
340,419904,421138,1234
341,421139,422373,1234
342,422374,423608,1234
343,423609,424843,1234
344,424844,426078,1234
345,426079,427313,1234
346,427314,428548,1234
347,428549,429783,1234
348,429784,431018,1234
349,431019,432253,1234
350,432254,433488,1234
351,433489,434723,1234
352,434724,435958,1234
353,435959,437193,1234
354,437194,438428,1234
355,438429,439663,1234
356,439664,440898,1234
357,440899,442133,1234
358,442134,443368,1234
359,443369,444603,1234
360,444604,445838,1234
361,445839,447073,1234
362,447074,448308,1234
363,448309,449543,1234
364,449544,450778,1234
365,450779,452013,1234
366,452014,453248,1234
367,453249,454483,1234
368,454484,455718,1234
369,455719,456953,1234
370,456954,458188,1234
371,458189,459423,1234
372,459424,460658,1234
373,460659,461893,1234
374,461894,463128,1234
375,463129,464363,1234
376,464364,465598,1234
377,465599,466833,1234
378,466834,468068,1234
379,468069,469303,1234
380,469304,470538,1234
381,470539,471773,1234
382,471774,473008,1234
383,473009,474243,1234
384,474244,475478,1234
385,475479,476713,1234
386,476714,477948,1234
387,477949,479183,1234
388,479184,480418,1234
389,480419,481653,1234
390,481654,482888,1234
391,482889,484123,1234
392,484124,485358,1234
393,485359,486593,1234
394,486594,487828,1234
395,487829,489063,1234
396,489064,490298,1234
397,490299,491533,1234
398,491534,492768,1234
399,492769,494003,1234
400,494004,495238,1234
401,495239,496473,1234
402,496474,497708,1234
403,497709,498943,1234
404,498944,500178,1234
405,500179,501413,1234
406,501414,502648,1234
407,502649,503883,1234
408,503884,505118,1234
409,505119,506353,1234
410,506354,507588,1234
411,507589,508823,1234
412,508824,510058,1234
413,510059,511293,1234
414,511294,512528,1234
415,512529,513763,1234
416,513764,514998,1234
417,514999,516233,1234
418,516234,517468,1234
419,517469,518703,1234
420,518704,519938,1234
421,519939,521173,1234
422,521174,522408,1234
423,522409,523643,1234
424,523644,524878,1234
425,524879,526113,1234
426,526114,527348,1234
427,527349,528583,1234
428,528584,529818,1234
429,529819,531053,1234
430,531054,532288,1234
431,532289,533523,1234
432,533524,534758,1234
433,534759,535993,1234
434,535994,537228,1234
435,537229,538463,1234
436,538464,539698,1234
437,539699,540933,1234
438,540934,542168,1234
439,542169,543403,1234
440,543404,544638,1234
441,544639,545873,1234
442,545874,547108,1234
443,547109,548343,1234
444,548344,549578,1234
445,549579,550813,1234
446,550814,552048,1234
447,552049,553283,1234
448,553284,554518,1234
449,554519,555753,1234
450,555754,556988,1234
451,556989,558223,1234
452,558224,559458,1234
453,559459,560693,1234
454,560694,561928,1234
455,561929,563163,1234
456,563164,564398,1234
457,564399,565633,1234
458,565634,566868,1234
459,566869,568103,1234
