step,start_cycle,result_cycle,cycles
0,4,1310,1306
1,1311,2617,1306
2,2618,3924,1306
3,3925,5231,1306
4,5232,6538,1306
5,6539,7845,1306
6,7846,9152,1306
7,9153,10459,1306
8,10460,11766,1306
9,11767,13073,1306
10,13074,14380,1306
11,14381,15687,1306
12,15688,16994,1306
13,16995,18301,1306
14,18302,19608,1306
15,19609,20915,1306
16,20916,22222,1306
17,22223,23529,1306
18,23530,24836,1306
19,24837,26143,1306
20,26144,27450,1306
21,27451,28757,1306
22,28758,30064,1306
23,30065,31371,1306
24,31372,32678,1306
25,32679,33985,1306
26,33986,35292,1306
27,35293,36599,1306
28,36600,37906,1306
29,37907,39213,1306
30,39214,40520,1306
31,40521,41827,1306
32,41828,43134,1306
33,43135,44441,1306
34,44442,45748,1306
35,45749,47055,1306
36,47056,48362,1306
37,48363,49669,1306
38,49670,50976,1306
39,50977,52283,1306
40,52284,53590,1306
41,53591,54897,1306
42,54898,56204,1306
43,56205,57511,1306
44,57512,58818,1306
45,58819,60125,1306
46,60126,61432,1306
47,61433,62739,1306
48,62740,64046,1306
49,64047,65353,1306
50,65354,66660,1306
51,66661,67967,1306
52,67968,69274,1306
53,69275,70581,1306
54,70582,71888,1306
55,71889,73195,1306
56,73196,74502,1306
57,74503,75809,1306
58,75810,77116,1306
59,77117,78423,1306
60,78424,79730,1306
61,79731,81037,1306
62,81038,82344,1306
63,82345,83651,1306
64,83652,84958,1306
65,84959,86265,1306
66,86266,87572,1306
67,87573,88879,1306
68,88880,90186,1306
69,90187,91493,1306
70,91494,92800,1306
71,92801,94107,1306
72,94108,95414,1306
73,95415,96721,1306
74,96722,98028,1306
75,98029,99335,1306
76,99336,100642,1306
77,100643,101949,1306
78,101950,103256,1306
79,103257,104563,1306
80,104564,105870,1306
81,105871,107177,1306
82,107178,108484,1306
83,108485,109791,1306
84,109792,111098,1306
85,111099,112405,1306
86,112406,113712,1306
87,113713,115019,1306
88,115020,116326,1306
89,116327,117633,1306
90,117634,118940,1306
91,118941,120247,1306
92,120248,121554,1306
93,121555,122861,1306
94,122862,124168,1306
95,124169,125475,1306
96,125476,126782,1306
97,126783,128089,1306
98,128090,129396,1306
99,129397,130703,1306
100,130704,132010,1306
101,132011,133317,1306
102,133318,134624,1306
103,134625,135931,1306
104,135932,137238,1306
105,137239,138545,1306
106,138546,139852,1306
107,139853,141159,1306
108,141160,142466,1306
109,142467,143773,1306
110,143774,145080,1306
111,145081,146387,1306
112,146388,147694,1306
113,147695,149001,1306
114,149002,150308,1306
115,150309,151615,1306
116,151616,152922,1306
117,152923,154229,1306
118,154230,155536,1306
119,155537,156843,1306
120,156844,158150,1306
121,158151,159457,1306
122,159458,160764,1306
123,160765,162071,1306
124,162072,163378,1306
125,163379,164685,1306
