step,start_cycle,result_cycle,cycles
289,388131,389473,1342
290,389474,390816,1342
291,390817,392159,1342
292,392160,393502,1342
293,393503,394845,1342
294,394846,396188,1342
295,396189,397531,1342
296,397532,398874,1342
297,398875,400217,1342
298,400218,401560,1342
299,401561,402903,1342
300,402904,404246,1342
301,404247,405589,1342
302,405590,406932,1342
303,406933,408275,1342
304,408276,409618,1342
305,409619,410961,1342
306,410962,412304,1342
307,412305,413647,1342
308,413648,414990,1342
309,414991,416333,1342
310,416334,417676,1342
311,417677,419019,1342
312,419020,420362,1342
313,420363,421705,1342
314,421706,423048,1342
315,423049,424391,1342
316,424392,425734,1342
317,425735,427077,1342
318,427078,428420,1342
319,428421,429763,1342
320,429764,431106,1342
321,431107,432449,1342
322,432450,433792,1342
323,433793,435135,1342
324,435136,436478,1342
325,436479,437821,1342
326,437822,439164,1342
327,439165,440507,1342
328,440508,441850,1342
329,441851,443193,1342
330,443194,444536,1342
331,444537,445879,1342
332,445880,447222,1342
333,447223,448565,1342
334,448566,449908,1342
335,449909,451251,1342
336,451252,452594,1342
337,452595,453937,1342
338,453938,455280,1342
339,455281,456623,1342
340,456624,457966,1342
341,457967,459309,1342
342,459310,460652,1342
343,460653,461995,1342
344,461996,463338,1342
345,463339,464681,1342
346,464682,466024,1342
347,466025,467367,1342
348,467368,468710,1342
349,468711,470053,1342
350,470054,471396,1342
351,471397,472739,1342
352,472740,474082,1342
353,474083,475425,1342
354,475426,476768,1342
355,476769,478111,1342
356,478112,479454,1342
357,479455,480797,1342
358,480798,482140,1342
359,482141,483483,1342
360,483484,484826,1342
361,484827,486169,1342
362,486170,487512,1342
363,487513,488855,1342
364,488856,490198,1342
365,490199,491541,1342
366,491542,492884,1342
367,492885,494227,1342
368,494228,495570,1342
369,495571,496913,1342
370,496914,498256,1342
371,498257,499599,1342
372,499600,500942,1342
373,500943,502285,1342
374,502286,503628,1342
375,503629,504971,1342
376,504972,506314,1342
377,506315,507657,1342
378,507658,509000,1342
379,509001,510343,1342
380,510344,511686,1342
381,511687,513029,1342
382,513030,514372,1342
383,514373,515715,1342
384,515716,517058,1342
385,517059,518401,1342
386,518402,519744,1342
387,519745,521087,1342
388,521088,522430,1342
389,522431,523773,1342
390,523774,525116,1342
391,525117,526459,1342
392,526460,527802,1342
393,527803,529145,1342
394,529146,530488,1342
395,530489,531831,1342
396,531832,533174,1342
397,533175,534517,1342
398,534518,535860,1342
399,535861,537203,1342
400,537204,538546,1342
401,538547,539889,1342
402,539890,541232,1342
403,541233,542575,1342
404,542576,543918,1342
405,543919,545261,1342
406,545262,546604,1342
407,546605,547947,1342
408,547948,549290,1342
409,549291,550633,1342
410,550634,551976,1342
411,551977,553319,1342
412,553320,554662,1342
413,554663,556005,1342
414,556006,557348,1342
415,557349,558691,1342
416,558692,560034,1342
417,560035,561377,1342
418,561378,562720,1342
419,562721,564063,1342
420,564064,565406,1342
421,565407,566749,1342
422,566750,568092,1342
423,568093,569435,1342
424,569436,570778,1342
425,570779,572121,1342
426,572122,573464,1342
427,573465,574807,1342
428,574808,576150,1342
429,576151,577493,1342
430,577494,578836,1342
431,578837,580179,1342
432,580180,581522,1342
433,581523,582865,1342
434,582866,584208,1342
435,584209,585551,1342
436,585552,586894,1342
437,586895,588237,1342
438,588238,589580,1342
439,589581,590923,1342
440,590924,592266,1342
441,592267,593609,1342
442,593610,594952,1342
443,594953,596295,1342
444,596296,597638,1342
445,597639,598981,1342
446,598982,600324,1342
447,600325,601667,1342
448,601668,603010,1342
449,603011,604353,1342
450,604354,605696,1342
451,605697,607039,1342
452,607040,608382,1342
453,608383,609725,1342
454,609726,611068,1342
455,611069,612411,1342
456,612412,613754,1342
457,613755,615097,1342
458,615098,616440,1342
459,616441,617783,1342
460,617784,619126,1342
461,619127,620469,1342
462,620470,621812,1342
463,621813,623155,1342
464,623156,624498,1342
465,624499,625841,1342
466,625842,627184,1342
467,627185,628527,1342
468,628528,629870,1342
469,629871,631213,1342
470,631214,632556,1342
471,632557,633899,1342
472,633900,635242,1342
473,635243,636585,1342
474,636586,637928,1342
475,637929,639271,1342
476,639272,640614,1342
477,640615,641957,1342
478,641958,643300,1342
479,643301,644643,1342
480,644644,645986,1342
481,645987,647329,1342
482,647330,648672,1342
483,648673,650015,1342
484,650016,651358,1342
485,651359,652701,1342
486,652702,654044,1342
487,654045,655387,1342
488,655388,656730,1342
489,656731,658073,1342
490,658074,659416,1342
491,659417,660759,1342
492,660760,662102,1342
493,662103,663445,1342
494,663446,664788,1342
495,664789,666131,1342
496,666132,667474,1342
497,667475,668817,1342
498,668818,670160,1342
499,670161,671503,1342
