step,start_cycle,result_cycle,cycles
0,4,1274,1270
1,1275,2545,1270
2,2546,3816,1270
3,3817,5087,1270
4,5088,6358,1270
5,6359,7629,1270
6,7630,8900,1270
7,8901,10171,1270
8,10172,11442,1270
9,11443,12713,1270
10,12714,13984,1270
11,13985,15255,1270
12,15256,16526,1270
13,16527,17797,1270
14,17798,19068,1270
15,19069,20339,1270
16,20340,21610,1270
17,21611,22881,1270
18,22882,24152,1270
19,24153,25423,1270
20,25424,26694,1270
21,26695,27965,1270
22,27966,29236,1270
23,29237,30507,1270
24,30508,31778,1270
25,31779,33049,1270
26,33050,34320,1270
27,34321,35591,1270
28,35592,36862,1270
29,36863,38133,1270
30,38134,39404,1270
31,39405,40675,1270
32,40676,41946,1270
33,41947,43217,1270
34,43218,44488,1270
35,44489,45759,1270
36,45760,47030,1270
37,47031,48301,1270
38,48302,49572,1270
39,49573,50843,1270
40,50844,52114,1270
41,52115,53385,1270
42,53386,54656,1270
43,54657,55927,1270
44,55928,57198,1270
45,57199,58469,1270
46,58470,59740,1270
47,59741,61011,1270
48,61012,62282,1270
49,62283,63553,1270
50,63554,64824,1270
51,64825,66095,1270
52,66096,67366,1270
53,67367,68637,1270
54,68638,69908,1270
55,69909,71179,1270
56,71180,72450,1270
57,72451,73721,1270
58,73722,74992,1270
59,74993,76263,1270
60,76264,77534,1270
61,77535,78805,1270
62,78806,80076,1270
63,80077,81347,1270
64,81348,82618,1270
65,82619,83889,1270
66,83890,85160,1270
67,85161,86431,1270
68,86432,87702,1270
69,87703,88973,1270
70,88974,90244,1270
71,90245,91515,1270
72,91516,92786,1270
73,92787,94057,1270
74,94058,95328,1270
75,95329,96599,1270
76,96600,97870,1270
77,97871,99141,1270
78,99142,100412,1270
79,100413,101683,1270
80,101684,102954,1270
81,102955,104225,1270
82,104226,105496,1270
83,105497,106767,1270
84,106768,108038,1270
85,108039,109309,1270
86,109310,110580,1270
87,110581,111851,1270
88,111852,113122,1270
89,113123,114393,1270
90,114394,115664,1270
91,115665,116935,1270
92,116936,118206,1270
93,118207,119477,1270
94,119478,120748,1270
95,120749,122019,1270
96,122020,123290,1270
97,123291,124561,1270
98,124562,125832,1270
99,125833,127103,1270
100,127104,128374,1270
101,128375,129645,1270
102,129646,130916,1270
103,130917,132187,1270
104,132188,133458,1270
105,133459,134729,1270
106,134730,136000,1270
107,136001,137271,1270
108,137272,138542,1270
109,138543,139813,1270
110,139814,141084,1270
111,141085,142355,1270
112,142356,143626,1270
113,143627,144897,1270
114,144898,146168,1270
115,146169,147439,1270
116,147440,148710,1270
117,148711,149981,1270
118,149982,151252,1270
119,151253,152523,1270
120,152524,153794,1270
121,153795,155065,1270
122,155066,156336,1270
123,156337,157607,1270
124,157608,158878,1270
125,158879,160149,1270
126,160150,161420,1270
127,161421,162691,1270
128,162692,163962,1270
129,163963,165233,1270
130,165234,166504,1270
131,166505,167775,1270
132,167776,169046,1270
133,169047,170317,1270
134,170318,171588,1270
135,171589,172859,1270
136,172860,174130,1270
137,174131,175401,1270
138,175402,176672,1270
139,176673,177943,1270
140,177944,179214,1270
141,179215,180485,1270
142,180486,181756,1270
143,181757,183027,1270
144,183028,184298,1270
145,184299,185569,1270
146,185570,186840,1270
147,186841,188111,1270
148,188112,189382,1270
149,189383,190653,1270
150,190654,191924,1270
151,191925,193195,1270
152,193196,194466,1270
153,194467,195737,1270
