step,cycles,threshold_0_int,threshold_1_int,threshold_2_int,observation_0,observation_1,observation_2,state_0_int,state_1_int,state_2_int,cov_00_int,cov_01_int,cov_02_int,cov_10_int,cov_11_int,cov_12_int,cov_20_int,cov_21_int,cov_22_int,overflow,numeric_error,solver_error
49,1306,15229,27261,419797,-1,-1,1,8750,14961,420757,934,1588,30,1588,3192,54,30,54,462,0,0,0
50,1306,10115,17604,398988,-1,-1,1,3556,5073,399945,940,1611,29,1611,3257,54,29,54,460,0,0,0
51,1306,3929,6170,379183,1,1,-1,10572,18932,378196,946,1632,24,1632,3317,46,24,46,458,0,0,0
52,1306,12405,22425,358684,1,1,1,19236,35622,360052,952,1654,26,1654,3378,50,26,50,458,0,0,0
53,1306,22803,42226,341796,1,1,-1,29547,55326,340897,956,1671,35,1671,3427,68,35,68,457,0,0,0
54,1306,35169,65837,324252,-1,-1,1,28424,52668,325034,960,1688,51,1688,3477,98,51,98,459,0,0,0
55,1306,33757,63054,309128,-1,1,1,35898,68205,310454,962,1702,62,1702,3518,119,62,119,460,0,0,0
56,1306,42970,81686,295925,-1,1,1,45175,86975,297286,965,1713,78,1713,3554,147,78,147,462,0,0,0
57,1306,54317,104342,284411,1,1,-1,61072,117699,283963,966,1723,97,1722,3585,185,97,185,465,0,0,0
58,1306,73499,141677,273911,1,1,1,80843,156200,276062,968,1731,125,1731,3611,239,125,239,472,0,0,0
59,1306,97398,188308,269981,1,1,1,104851,203068,272457,969,1736,163,1736,3629,313,163,313,485,0,0,0
60,1306,126427,244880,272231,-1,1,1,129028,250976,274042,969,1736,212,1736,3630,407,212,407,506,0,0,0
61,1306,155755,302187,280983,-1,-1,1,149448,289640,280323,966,1729,269,1729,3612,516,269,516,539,0,0,0
62,1306,180151,348169,294049,1,1,-1,186268,360312,295043,960,1712,326,1712,3568,626,326,626,582,0,0,0
63,1306,224221,431074,323506,1,1,-1,230049,442587,324854,951,1682,398,1682,3488,757,398,757,646,0,0,0
64,1306,276033,524793,374211,1,1,1,283951,540093,379717,937,1636,483,1636,3360,907,483,907,742,0,0,0
65,1306,338582,630136,459196,-1,1,-1,338830,631672,458231,915,1559,579,1559,3153,1062,579,1062,880,0,0,0
66,1306,400005,720075,571740,-1,-1,-1,392176,705719,564132,885,1455,676,1455,2874,1197,676,1197,1060,0,0,0
67,1306,455808,779144,710286,1,-1,-1,452556,772614,705607,846,1323,762,1323,2530,1283,762,1283,1269,0,0,0
68,1306,514485,813669,886871,1,-1,1,515658,814454,889501,800,1162,833,1162,2128,1301,833,1301,1503,0,0,0
69,1306,568598,798627,1098659,1,1,1,575317,808700,1108600,744,974,877,974,1691,1225,877,1225,1735,0,0,0
70,1306,608937,711338,1324169,-1,-1,-1,602904,703386,1314210,681,770,881,770,1263,1041,881,1041,1921,0,0,0
71,1306,605248,529469,1483560,-1,-1,-1,600040,523608,1474293,612,578,828,578,923,772,828,772,1981,0,0,0
72,1306,565581,301015,1562451,1,-1,-1,564006,299023,1558140,546,426,723,426,711,486,723,486,1891,0,0,0
73,1306,494699,71665,1555373,-1,-1,-1,491083,68600,1548881,490,330,589,330,620,249,589,249,1682,0,0,0
74,1306,396844,-118792,1473649,-1,-1,-1,393777,-121369,1468577,452,295,450,295,613,99,450,99,1421,0,0,0
75,1306,288346,-249385,1358198,-1,-1,-1,285602,-251920,1354272,435,311,326,311,655,26,326,26,1177,0,0,0
76,1306,181368,-325069,1242048,-1,-1,1,179893,-327868,1244012,438,362,222,362,728,-4,222,-4,982,0,0,0
77,1306,84730,-362903,1148217,1,-1,-1,84432,-363863,1146465,459,435,136,435,827,-23,136,-23,840,0,0,0
78,1306,2240,-376199,1073142,1,-1,-1,2005,-377186,1071514,492,521,60,521,952,-48,60,-48,743,0,0,0
79,1306,-66579,-378086,1019412,-1,1,-1,-66338,-376600,1017460,532,612,-11,612,1096,-91,-11,-91,682,0,0,0
80,1306,-121984,-372642,982659,1,-1,1,-122525,-374454,984506,575,700,-80,700,1246,-152,-80,-152,650,0,0,0
81,1306,-167439,-368494,963121,-1,1,1,-167377,-367492,964555,615,780,-150,780,1386,-230,-150,-230,644,0,0,0
82,1306,-202856,-360643,952833,1,-1,-1,-202825,-361561,951404,651,847,-218,847,1505,-315,-218,-315,659,0,0,0
83,1306,-230800,-354304,946901,-1,1,-1,-229490,-351445,944814,680,899,-282,899,1594,-401,-282,-401,691,0,0,0
84,1306,-250785,-343716,944545,-1,1,1,-251013,-343031,946037,702,934,-339,934,1651,-480,-339,-480,732,0,0,0
85,1306,-266797,-334055,948567,-1,1,1,-267140,-333533,950130,716,955,-388,955,1679,-547,-388,-547,778,0,0,0
86,1306,-278150,-323090,953888,1,1,-1,-272705,-314724,949128,725,962,-427,962,1684,-600,-427,-600,824,0,0,0
87,1306,-279307,-304179,950744,1,-1,1,-281095,-307682,953433,728,962,-455,962,1677,-635,-455,-635,863,0,0,0
88,1306,-284798,-295971,955015,-1,-1,1,-290365,-304420,960241,728,956,-475,956,1659,-658,-475,-658,897,0,0,0
89,1306,-291644,-291024,962398,-1,-1,-1,-294696,-295957,963015,726,945,-490,945,1635,-672,-490,-672,926,0,0,0
90,1306,-293613,-281835,964187,1,1,1,-290617,-277009,963582,722,933,-498,933,1608,-679,-498,-679,949,0,0,0
91,1306,-286853,-263094,960640,-1,1,-1,-285021,-259608,957699,717,922,-499,922,1588,-677,-499,-677,961,0,0,0
92,1306,-279247,-247073,951195,1,1,-1,-273774,-238917,945719,713,915,-495,915,1577,-669,-495,-669,963,0,0,0
93,1306,-266543,-229007,934824,1,-1,-1,-265857,-229084,932837,711,915,-486,915,1579,-657,-486,-657,955,0,0,0
94,1306,-258500,-221584,920038,1,-1,1,-260289,-225019,922922,711,921,-476,921,1594,-647,-476,-647,942,0,0,0
95,1306,-253362,-219283,909344,-1,-1,-1,-256398,-224210,909808,712,929,-467,929,1614,-639,-467,-639,929,0,0,0
96,1306,-250243,-220613,896377,1,1,1,-247153,-215576,895910,715,941,-460,941,1641,-635,-460,-635,918,0,0,0
97,1306,-241305,-214241,880811,-1,1,-1,-239508,-210719,878015,719,954,-452,954,1673,-630,-452,-630,904,0,0,0
98,1306,-234415,-212068,862291,-1,-1,-1,-237660,-217407,862775,724,971,-444,971,1712,-626,-444,-626,888,0,0,0
99,1306,-234321,-220945,848691,-1,1,-1,-232497,-217314,845934,731,989,-439,989,1752,-628,-439,-628,877,0,0,0
100,1306,-230289,-223192,832152,1,1,-1,-224656,-214316,827170,738,1009,-436,1009,1796,-631,-436,-631,867,0,0,0
101,1306,-223558,-222605,813058,-1,-1,1,-229258,-231670,818012,745,1030,-433,1030,1842,-634,-433,-634,856,0,0,0
102,1306,-230590,-241399,807463,-1,-1,1,-236366,-250642,812445,752,1048,-436,1048,1882,-644,-436,-644,853,0,0,0
103,1306,-239944,-261443,805963,1,-1,1,-241907,-265391,808743,757,1062,-444,1062,1911,-660,-444,-660,857,0,0,0
104,1306,-247222,-276953,805509,1,-1,-1,-246889,-277484,803883,762,1072,-454,1072,1931,-679,-454,-679,867,0,0,0
105,1306,-253579,-289973,803569,-1,-1,-1,-257159,-296012,804320,765,1077,-465,1077,1942,-698,-465,-698,880,0,0,0
106,1306,-265375,-308844,808635,1,1,1,-261835,-302867,807838,766,1078,-480,1078,1942,-720,-480,-720,900,0,0,0
107,1306,-270403,-315303,813877,-1,-1,-1,-273894,-321196,814696,765,1075,-493,1075,1934,-738,-493,-738,919,0,0,0
108,1306,-283531,-332896,825599,-1,-1,-1,-286953,-338663,826442,764,1068,-509,1068,1915,-757,-509,-757,945,0,0,0
109,1306,-297233,-348643,842223,1,-1,-1,-296677,-348848,840385,759,1054,-526,1054,1881,-775,-526,-775,976,0,0,0
