step,cycles,threshold_0_int,threshold_1_int,threshold_2_int,observation_0,observation_1,observation_2,state_0_int,state_1_int,state_2_int,cov_00_int,cov_01_int,cov_02_int,cov_10_int,cov_11_int,cov_12_int,cov_20_int,cov_21_int,cov_22_int,overflow,numeric_error,solver_error
211,1306,409823,605536,822520,-1,-1,-1,402890,594086,814821,805,1174,693,1175,2150,1085,693,1085,1191,0,0,0
212,1306,438752,606659,918812,-1,-1,-1,432089,596152,910678,771,1069,731,1069,1902,1083,731,1083,1325,0,0,0
213,1306,460710,583256,1018396,-1,1,-1,459352,582392,1015411,734,955,751,955,1650,1037,751,1037,1442,0,0,0
214,1306,477717,538801,1120565,-1,-1,1,475714,535477,1120154,695,839,751,839,1407,951,751,951,1532,0,0,0
215,1306,479701,460768,1208703,-1,1,1,481797,464142,1213075,655,727,728,727,1192,829,728,829,1575,0,0,0
216,1306,469291,363224,1275132,1,-1,1,471020,363987,1279169,615,628,684,628,1020,689,684,689,1565,0,0,0
217,1306,441004,249433,1305127,-1,-1,-1,436498,244279,1298239,580,552,621,552,904,550,621,550,1499,0,0,0
218,1306,391592,136180,1285580,-1,-1,-1,387466,131587,1279487,552,508,546,508,847,434,546,434,1388,0,0,0
219,1306,332739,42096,1237111,1,1,1,336583,46421,1242430,536,495,469,495,843,350,469,350,1252,0,0,0
220,1306,277549,-22887,1183304,1,-1,-1,276571,-24598,1180689,531,509,398,509,877,294,398,294,1117,0,0,0
221,1306,217688,-71174,1113646,-1,-1,1,215768,-74336,1114687,538,548,333,548,948,259,333,259,992,0,0,0
222,1306,160647,-102467,1047019,-1,1,-1,160078,-101915,1044653,556,605,275,605,1050,235,275,235,883,0,0,0
223,1306,111329,-116608,981142,1,-1,1,111652,-117367,983201,582,677,223,677,1181,213,223,213,793,0,0,0
224,1306,69641,-124046,925019,1,-1,1,69709,-125069,926830,615,758,177,758,1333,187,177,187,719,0,0,0
225,1306,34308,-127445,874192,-1,-1,1,30794,-133103,875138,650,844,133,844,1499,154,133,154,660,0,0,0
226,1306,1126,-133904,827860,-1,-1,-1,-3284,-140924,825778,687,931,89,931,1674,111,89,111,613,0,0,0
227,1306,-28245,-142275,783707,-1,1,1,-27346,-139927,785218,724,1018,43,1018,1852,56,43,56,577,0,0,0
228,1306,-47930,-142865,747158,1,-1,1,-48846,-145319,748577,758,1098,0,1098,2021,-4,0,-4,553,0,0,0
229,1306,-66740,-150697,714349,-1,1,-1,-65600,-147852,712911,788,1171,-43,1171,2177,-69,-43,-69,538,0,0,0
230,1306,-81185,-156036,682073,-1,1,-1,-79828,-152795,680586,814,1234,-84,1234,2315,-135,-84,-135,530,0,0,0
231,1306,-94023,-164043,652937,1,-1,-1,-94923,-166589,651797,836,1288,-123,1288,2438,-200,-123,-200,528,0,0,0
232,1306,-109226,-181446,627899,1,1,1,-103965,-172067,628145,853,1334,-161,1334,2542,-267,-161,-267,532,0,0,0
233,1306,-117879,-189705,606769,-1,1,1,-117024,-187191,607789,867,1369,-195,1369,2625,-329,-195,-329,540,0,0,0
234,1306,-131643,-208390,590003,-1,-1,1,-138132,-220013,593028,877,1397,-229,1397,2691,-392,-229,-392,553,0,0,0
235,1306,-155325,-246177,581363,-1,1,1,-154569,-243822,582307,883,1414,-270,1414,2733,-464,-270,-464,576,0,0,0
236,1306,-173469,-273983,575815,-1,-1,1,-180269,-286229,579565,886,1423,-312,1423,2755,-538,-312,-538,604,0,0,0
237,1306,-202667,-321505,581994,1,1,-1,-195745,-309057,577791,885,1421,-361,1421,2750,-622,-361,-622,645,0,0,0
238,1306,-219755,-347388,585917,1,1,-1,-212759,-334838,581279,881,1412,-406,1412,2727,-699,-406,-699,691,0,0,0
239,1306,-238602,-375795,595970,1,-1,1,-241151,-381214,598733,875,1393,-449,1393,2685,-769,-449,-769,743,0,0,0
240,1306,-270479,-424578,625445,-1,1,1,-270399,-423390,626583,865,1363,-497,1363,2610,-844,-497,-844,810,0,0,0
241,1306,-302072,-466704,665778,1,-1,1,-304743,-472210,669049,852,1322,-548,1322,2507,-915,-548,-915,892,0,0,0
242,1306,-338741,-512089,723996,1,-1,1,-341445,-517540,727559,834,1263,-599,1263,2363,-977,-599,-977,990,0,0,0
243,1306,-376223,-548686,799066,1,1,-1,-369367,-537303,791887,811,1189,-648,1189,2183,-1023,-648,-1023,1104,0,0,0
244,1306,-401484,-555376,872331,-1,-1,1,-408133,-566041,879927,784,1105,-687,1105,1984,-1038,-687,-1038,1217,0,0,0
245,1306,-436487,-562543,973854,-1,-1,-1,-439174,-567046,974893,752,1006,-717,1006,1757,-1022,-717,-1022,1335,0,0,0
246,1306,-459634,-536935,1072256,1,1,1,-457360,-533179,1071597,716,898,-731,898,1524,-967,-731,-967,1437,0,0,0
247,1306,-465806,-475164,1157847,-1,1,-1,-463623,-471536,1153547,679,791,-723,791,1309,-874,-723,-874,1501,0,0,0
248,1306,-457645,-390998,1217822,1,1,-1,-452424,-384344,1210178,642,694,-692,694,1132,-757,-692,-757,1516,0,0,0
249,1306,-431581,-292485,1243460,-1,1,1,-433209,-293125,1247296,608,618,-640,618,1006,-634,-640,-634,1476,0,0,0
250,1306,-398948,-197734,1250433,-1,-1,-1,-400386,-200210,1249636,581,565,-578,565,929,-523,-578,-523,1396,0,0,0
251,1306,-356015,-113404,1225901,1,1,-1,-351879,-108600,1220159,561,539,-512,539,900,-433,-512,-433,1290,0,0,0
252,1306,-301393,-39796,1175086,1,1,1,-299740,-37010,1176022,552,541,-444,541,915,-368,-444,-368,1170,0,0,0
253,1306,-247479,13209,1119026,1,1,1,-245590,16311,1119921,553,567,-381,567,967,-324,-381,-325,1052,0,0,0
254,1306,-195117,49260,1058322,1,1,1,-192935,52772,1059163,565,612,-325,612,1052,-295,-325,-295,944,0,0,0
255,1306,-146697,71977,997954,-1,1,-1,-145753,73966,995778,586,673,-274,673,1165,-272,-274,-272,849,0,0,0
256,1306,-105163,83406,937937,-1,-1,1,-109248,77490,941135,614,746,-229,746,1302,-249,-229,-249,769,0,0,0
257,1306,-75152,81381,887592,1,1,1,-71851,86685,888326,646,826,-190,826,1458,-225,-190,-225,704,0,0,0
258,1306,-43153,87407,838874,-1,-1,-1,-46868,81354,838099,679,909,-150,909,1625,-193,-150,-193,650,0,0,0
259,1306,-23776,80770,792613,-1,1,-1,-22726,83318,790945,714,992,-115,992,1797,-158,-115,-158,607,0,0,0
260,1306,-3626,82912,748990,-1,1,1,-2954,84984,750359,748,1074,-81,1074,1970,-118,-81,-118,574,0,0,0
261,1306,12969,85691,711445,-1,-1,1,7858,77002,713150,780,1151,-47,1151,2135,-73,-47,-73,547,0,0,0
262,1306,20489,78703,676623,1,-1,1,19340,75799,677998,808,1220,-19,1220,2288,-31,-19,-31,527,0,0,0
263,1306,29819,79080,643786,-1,-1,-1,24311,69414,642431,831,1281,7,1281,2426,10,7,10,513,0,0,0
264,1306,32843,73770,610171,1,1,1,38593,83989,611647,852,1337,28,1337,2555,46,28,46,503,0,0,0
265,1306,47452,91288,581954,1,-1,1,46203,88095,583125,869,1385,54,1385,2669,89,54,89,496,0,0,0
266,1306,54624,97473,555429,-1,1,1,56281,101392,556828,885,1426,77,1426,2771,130,77,130,493,0,0,0
267,1306,65553,113644,531538,1,-1,1,64286,110355,532598,896,1461,101,1461,2855,174,101,174,493,0,0,0
268,1306,73971,125231,509449,1,-1,1,72718,121951,510462,907,1492,125,1492,2934,219,125,219,495,0,0,0
269,1306,83239,139723,489595,-1,1,1,85233,144347,491176,916,1517,149,1517,3001,264,149,264,499,0,0,0
270,1306,97916,166200,473517,1,-1,-1,95804,161338,471848,920,1536,177,1536,3051,316,177,316,506,0,0,0
271,1306,110003,187015,457217,1,1,-1,115919,198160,457395,925,1553,205,1553,3096,371,205,371,518,0,0,0
272,1306,133724,230251,448341,1,1,1,140813,243565,451490,927,1564,243,1564,3127,441,243,441,537,0,0,0
273,1306,162999,282976,450013,-1,-1,-1,155779,269408,446434,927,1564,291,1564,3132,528,291,528,567,0,0,0
274,1306,180353,313383,450151,-1,1,-1,181203,315994,449348,924,1558,337,1558,3119,611,337,611,603,0,0,0
275,1306,210218,366594,462713,-1,-1,-1,202825,352762,458199,917,1543,390,1543,3080,704,390,704,652,0,0,0
276,1306,235010,407980,480217,-1,-1,1,229828,398206,478818,909,1518,442,1518,3019,795,442,795,712,0,0,0
277,1306,265715,457333,512419,1,-1,1,265429,455766,513401,897,1482,497,1482,2928,885,497,885,785,0,0,0
278,1306,305545,517483,563712,1,-1,-1,302628,511328,560332,881,1430,558,1430,2794,976,558,976,879,0,0,0
279,1306,345973,571696,629154,1,1,-1,350146,579317,630946,860,1361,619,1361,2619,1057,619,1057,994,0,0,0
280,1306,396531,631966,725466,1,-1,1,397112,631876,727219,833,1271,683,1271,2392,1123,683,1123,1138,0,0,0
281,1306,442826,665746,844969,-1,1,1,445707,671266,849433,799,1159,739,1159,2117,1152,739,1152,1299,0,0,0
282,1306,486882,673336,987623,-1,-1,-1,480241,663079,978881,760,1026,782,1026,1807,1131,782,1131,1468,0,0,0
283,1306,510096,626095,1117965,1,-1,1,511698,627179,1121464,714,885,797,885,1499,1044,797,1044,1605,0,0,0
284,1306,525023,543332,1249284,1,-1,-1,522776,539752,1244559,665,741,782,741,1214,901,782,901,1693,0,0,0
285,1306,514627,417627,1337883,-1,-1,1,513383,415393,1338562,616,613,735,613,989,723,735,723,1704,0,0,0
286,1306,482203,270639,1383062,-1,1,1,483778,272892,1387008,570,512,660,512,837,541,660,541,1631,0,0,0
287,1306,431947,127060,1380922,-1,1,-1,430264,126868,1376593,532,446,569,446,758,386,569,386,1495,0,0,0
288,1306,363716,3472,1328361,-1,-1,-1,360125,-214,1323022,507,421,473,421,742,276,473,276,1326,0,0,0
289,1306,286408,-90167,1249417,1,-1,-1,285578,-91596,1246873,497,432,382,432,774,209,382,209,1154,0,0,0
290,1306,211842,-149693,1165133,-1,-1,-1,208576,-153495,1161344,502,472,302,472,844,170,302,170,1002,0,0,0
291,1306,140049,-185803,1082644,1,-1,1,140601,-186498,1085112,520,535,233,535,949,146,233,146,877,0,0,0
292,1306,79958,-202578,1014602,1,1,1,83375,-197915,1017347,547,613,172,613,1081,122,172,122,777,0,0,0
293,1306,31907,-204797,956210,-1,-1,1,28915,-209534,957460,582,700,117,700,1235,92,117,92,700,0,0,0
294,1306,-14352,-211784,905531,-1,-1,-1,-18155,-217573,903600,622,791,64,791,1404,49,64,49,643,0,0,0
295,1306,-54264,-218804,860238,1,1,-1,-50300,-212420,858700,663,882,9,882,1580,-9,9,-9,603,0,0,0
296,1306,-79773,-214787,821427,1,-1,-1,-80385,-216669,820034,701,968,-43,968,1752,-75,-43,-75,578,0,0,0
297,1306,-105406,-221459,788671,1,-1,1,-106488,-224133,790265,735,1046,-96,1047,1911,-150,-96,-150,567,0,0,0
298,1306,-128418,-231856,764259,1,-1,-1,-128974,-233741,763028,766,1115,-148,1115,2050,-231,-148,-231,567,0,0,0
299,1306,-148897,-244856,742222,1,1,-1,-143307,-235412,739417,791,1171,-200,1171,2166,-314,-200,-314,578,0,0,0
300,1306,-161233,-249557,721987,-1,-1,-1,-165851,-257563,722119,810,1213,-246,1213,2257,-392,-246,-392,595,0,0,0
301,1306,-184048,-275410,711120,1,-1,1,-185933,-279489,713190,824,1244,-294,1244,2321,-472,-294,-472,623,0,0,0
302,1306,-204736,-300254,708374,1,-1,-1,-205025,-301774,707258,832,1261,-342,1261,2356,-551,-341,-551,658,0,0,0
303,1306,-224656,-325153,708870,-1,-1,-1,-229117,-332976,709711,837,1267,-388,1267,2368,-628,-388,-628,701,0,0,0
304,1306,-250230,-358387,720085,-1,-1,-1,-254545,-365947,721100,836,1261,-435,1261,2351,-704,-435,-704,755,0,0,0
305,1306,-277094,-391949,741195,1,1,-1,-270490,-380780,735839,831,1243,-484,1243,2303,-775,-484,-775,820,0,0,0
306,1306,-292732,-405616,761083,1,1,-1,-286111,-394542,755301,820,1213,-524,1213,2232,-829,-524,-829,884,0,0,0
307,1306,-307817,-417032,785380,-1,-1,-1,-311523,-423420,786628,807,1175,-557,1175,2147,-868,-557,-867,948,0,0,0
308,1306,-333437,-441315,826382,-1,-1,-1,-336901,-447221,827605,792,1129,-588,1129,2039,-898,-588,-898,1021,0,0,0
309,1306,-357840,-457452,876112,-1,1,1,-358607,-457571,878132,773,1074,-617,1074,1911,-915,-617,-915,1098,0,0,0
310,1306,-376484,-456828,931292,1,1,1,-373569,-451980,930305,752,1011,-638,1011,1772,-913,-638,-913,1172,0,0,0
311,1306,-386605,-439064,982584,1,1,1,-383959,-434703,981799,729,944,-649,944,1629,-888,-649,-888,1232,0,0,0
312,1306,-390834,-409412,1029102,-1,-1,1,-396594,-417725,1036243,706,879,-648,879,1495,-846,-648,-846,1274,0,0,0
313,1306,-396814,-378560,1078698,1,1,-1,-391305,-370881,1071652,682,815,-638,815,1369,-791,-638,-791,1301,0,0,0
314,1306,-383331,-324594,1099206,1,-1,-1,-382022,-324048,1096153,660,763,-616,762,1271,-727,-616,-727,1299,0,0,0
315,1306,-366879,-273984,1109288,-1,1,1,-368167,-274444,1112368,641,722,-585,722,1200,-661,-585,-661,1273,0,0,0
316,1306,-346461,-223397,1111017,-1,1,-1,-344854,-220647,1107706,626,696,-549,696,1157,-600,-549,-600,1228,0,0,0
317,1306,-318070,-174522,1092178,-1,1,1,-319187,-174724,1095074,617,685,-509,685,1145,-547,-509,-547,1166,0,0,0
318,1306,-289327,-134946,1068698,-1,-1,-1,-291467,-138399,1068372,614,689,-469,689,1160,-505,-469,-505,1098,0,0,0
319,1306,-260835,-107003,1034874,-1,1,-1,-259477,-104494,1032105,617,707,-431,707,1199,-473,-431,-473,1028,0,0,0
320,1306,-229359,-82282,993309,-1,1,-1,-228035,-79753,990694,627,739,-395,739,1264,-450,-395,-450,959,0,0,0
321,1306,-199921,-65858,949253,-1,-1,1,-204512,-72455,953590,642,783,-363,783,1351,-433,-363,-433,894,0,0,0
322,1306,-179889,-64477,912378,-1,1,1,-180288,-63932,914295,660,833,-337,833,1453,-421,-337,-421,838,0,0,0
323,1306,-158984,-61078,873394,-1,1,-1,-157621,-58234,871110,681,889,-312,888,1566,-411,-312,-411,788,0,0,0
324,1306,-139804,-59758,831217,-1,1,1,-139880,-58814,832816,704,949,-291,949,1691,-401,-291,-401,743,0,0,0
325,1306,-125653,-63370,794423,1,-1,1,-127115,-66521,796544,728,1010,-273,1010,1819,-392,-273,-392,703,0,0,0
326,1306,-116818,-73494,760227,-1,1,1,-116612,-72132,761597,752,1070,-259,1070,1948,-386,-259,-386,672,0,0,0
327,1306,-109406,-81041,727121,1,1,-1,-103847,-71766,723844,775,1129,-247,1129,2076,-382,-247,-382,645,0,0,0
328,1306,-99011,-82122,690783,-1,1,-1,-97368,-78465,688824,796,1185,-235,1185,2203,-376,-235,-376,622,0,0,0
329,1306,-95054,-90350,657731,1,1,1,-90310,-82055,657721,815,1238,-227,1238,2325,-371,-227,-371,603,0,0,0
330,1306,-90008,-94888,628131,-1,-1,-1,-94952,-103635,628158,834,1287,-220,1287,2439,-367,-220,-367,586,0,0,0
331,1306,-97942,-119046,601640,-1,-1,1,-104163,-130061,604657,850,1331,-221,1331,2544,-375,-221,-375,577,0,0,0
332,1306,-110561,-148666,581707,-1,1,1,-109787,-146295,582725,863,1367,-231,1367,2630,-397,-231,-397,574,0,0,0
333,1306,-118336,-167499,562526,-1,1,-1,-116286,-162909,560576,873,1397,-245,1397,2704,-424,-245,-424,575,0,0,0
334,1306,-126932,-187043,543379,1,-1,-1,-127730,-189485,542423,881,1422,-261,1422,2767,-456,-261,-456,580,0,0,0
335,1306,-141471,-217545,529537,-1,1,1,-140703,-215154,530473,887,1442,-283,1442,2818,-498,-283,-498,591,0,0,0
336,1306,-157096,-247129,522075,-1,1,-1,-154791,-242013,519891,891,1455,-311,1455,2851,-548,-311,-548,607,0,0,0
337,1306,-173881,-278195,516641,-1,1,1,-173222,-275981,517555,894,1463,-342,1463,2872,-604,-342,-604,631,0,0,0
338,1306,-195533,-316639,521009,1,-1,-1,-196099,-318689,520091,893,1462,-378,1462,2869,-669,-378,-669,663,0,0,0
339,1306,-222451,-364247,532743,-1,-1,1,-229609,-377304,537580,889,1450,-422,1450,2839,-742,-422,-742,708,0,0,0
340,1306,-260957,-427679,564569,-1,1,1,-260720,-426211,565611,881,1424,-476,1424,2772,-829,-476,-829,775,0,0,0
341,1306,-295449,-478213,606432,-1,-1,1,-302668,-491092,612397,868,1382,-533,1382,2666,-913,-533,-913,858,0,0,0
342,1306,-341432,-541512,673989,1,-1,1,-344247,-547274,677568,850,1321,-596,1321,2511,-996,-596,-996,968,0,0,0
343,1306,-384903,-589237,759818,1,-1,1,-387725,-594832,763746,825,1240,-657,1240,2308,-1061,-657,-1061,1099,0,0,0
344,1306,-427597,-619658,866195,-1,1,-1,-424833,-614380,861955,795,1139,-711,1139,2064,-1093,-711,-1093,1246,0,0,0
345,1306,-459263,-614401,975636,-1,1,-1,-456611,-609565,971165,759,1024,-748,1024,1796,-1077,-748,-1077,1388,0,0,0
346,1306,-481533,-578149,1086550,-1,-1,1,-487681,-587026,1095022,719,901,-764,901,1529,-1010,-764,-1010,1508,0,0,0
347,1306,-499256,-516431,1204556,1,1,1,-497489,-513484,1204437,676,773,-756,773,1273,-896,-756,-896,1592,0,0,0
348,1306,-490906,-410316,1285894,1,1,-1,-485735,-403958,1277947,632,656,-719,656,1062,-748,-719,-748,1612,0,0,0
349,1306,-459896,-284991,1318265,1,-1,1,-461535,-287439,1322151,591,564,-657,564,917,-594,-657,-594,1559,0,0,0
350,1306,-418628,-165514,1322220,-1,-1,1,-422838,-170122,1328641,557,502,-579,502,834,-458,-579,-458,1454,0,0,0
351,1306,-366713,-59590,1294018,-1,-1,1,-370567,-63770,1299593,533,472,-497,472,805,-353,-497,-353,1319,0,0,0
352,1306,-306679,24934,1240618,-1,1,-1,-305720,26560,1237936,521,472,-418,472,821,-281,-418,-281,1175,0,0,0
353,1306,-239801,87908,1166301,-1,-1,-1,-241536,84984,1165118,522,502,-345,502,876,-236,-345,-236,1037,0,0,0
354,1306,-178862,123197,1091872,-1,-1,1,-182370,118768,1095475,535,553,-281,553,966,-208,-281,-208,916,0,0,0
355,1306,-125877,140553,1026180,1,-1,1,-126624,138871,1028176,558,620,-226,620,1084,-187,-226,-187,817,0,0,0
356,1306,-77646,149507,965207,-1,-1,-1,-80503,144971,964188,588,699,-176,699,1226,-163,-176,-163,737,0,0,0
357,1306,-39368,149262,908056,-1,1,1,-39264,150497,909764,623,786,-130,786,1388,-134,-130,-134,673,0,0,0
358,1306,-4863,152009,859803,-1,1,1,-4513,153572,861371,662,874,-85,874,1561,-94,-85,-94,623,0,0,0
359,1306,24120,154709,816898,-1,-1,-1,19935,147850,815630,699,961,-41,961,1737,-45,-41,-45,586,0,0,0
360,1306,43205,149979,775561,1,1,-1,47805,157602,774159,735,1044,1,1044,1909,8,1,8,559,0,0,0
361,1306,68034,162221,738944,-1,-1,1,63259,154132,740025,767,1121,45,1121,2070,71,45,72,543,0,0,0
362,1306,80289,161056,707847,1,1,1,85648,170229,709777,796,1189,85,1189,2217,135,85,135,534,0,0,0
363,1306,101879,180780,682121,1,1,-1,106913,189571,681627,820,1246,128,1246,2342,206,128,206,533,0,0,0
364,1306,123186,204288,658957,1,1,-1,128279,213282,658762,838,1292,173,1292,2445,282,173,282,541,0,0,0
365,1306,145388,232498,641705,-1,-1,-1,139160,221544,638760,852,1328,220,1328,2524,364,220,364,558,0,0,0
366,1306,156092,243935,624916,1,-1,-1,154095,239526,622960,862,1354,261,1354,2584,439,261,439,579,0,0,0
367,1306,171930,265665,613750,-1,-1,1,166883,256579,613179,868,1370,302,1370,2624,511,302,511,605,0,0,0
368,1306,185774,285762,608195,1,-1,-1,183523,280885,605923,871,1379,340,1379,2645,578,340,579,636,0,0,0
369,1306,204135,313637,606809,1,1,-1,209005,322442,607749,872,1381,380,1381,2649,646,380,647,672,0,0,0
370,1306,232898,359218,618488,1,1,1,239808,371459,623322,868,1370,425,1370,2622,722,425,722,721,0,0,0
371,1306,267243,410882,646769,1,-1,1,267154,409693,647914,861,1347,478,1347,2563,804,478,804,788,0,0,0
372,1306,296565,448964,682635,-1,1,1,299157,454301,685789,850,1309,530,1309,2471,878,530,878,867,0,0,0
373,1306,330581,490460,734663,-1,1,1,333217,495773,738104,833,1257,582,1257,2343,944,582,944,962,0,0,0
374,1306,365293,524255,801742,-1,-1,-1,358475,512954,794769,811,1187,630,1187,2175,991,630,991,1069,0,0,0
375,1306,388074,530269,866008,-1,-1,-1,381451,519635,858643,786,1110,668,1110,1993,1009,668,1009,1174,0,0,0
376,1306,406772,522415,934071,1,-1,1,407829,522922,936519,758,1025,692,1025,1802,998,692,998,1269,0,0,0
377,1306,427142,505782,1015239,1,-1,-1,424756,501527,1011052,727,934,704,934,1604,957,704,957,1353,0,0,0
378,1306,435278,464335,1083765,1,1,1,441055,472471,1091515,696,844,700,844,1419,890,700,890,1412,0,0,0
379,1306,441246,412619,1154962,-1,1,-1,439726,411828,1151534,664,756,683,756,1250,801,683,801,1444,0,0,0
380,1306,427804,337482,1193932,1,-1,-1,425987,334536,1190075,632,681,649,681,1116,700,649,700,1436,0,0,0
381,1306,401975,254363,1206797,1,1,1,406687,260155,1213467,605,625,600,625,1025,599,600,599,1386,0,0,0
382,1306,372640,179472,1207191,-1,1,-1,371250,179152,1203721,584,589,545,589,974,510,545,510,1310,0,0,0
383,1306,329907,109015,1175786,-1,1,1,331185,111161,1178807,571,576,487,576,964,440,487,440,1214,0,0,0
384,1306,286023,54315,1135934,1,-1,-1,284859,52265,1133175,567,585,431,585,990,389,431,389,1111,0,0,0
385,1306,238943,11442,1081090,1,1,1,242963,16626,1085568,573,615,378,615,1049,355,378,355,1011,0,0,0
386,1306,199401,-11359,1030489,1,1,-1,201744,-7604,1029823,587,661,332,661,1134,331,332,331,921,0,0,0
387,1306,162316,-24362,974992,1,1,-1,164978,-20113,974392,607,719,292,719,1244,313,292,313,842,0,0,0
388,1306,130717,-28647,921734,-1,-1,-1,126408,-34974,918326,633,787,257,787,1375,298,257,298,774,0,0,0
389,1306,97005,-37587,868130,-1,-1,1,93643,-43035,868667,662,862,222,862,1524,278,222,278,714,0,0,0
390,1306,69008,-42465,821339,1,-1,-1,67864,-45074,819474,694,940,189,940,1685,253,189,253,662,0,0,0
391,1306,47669,-42917,775263,1,1,1,52579,-34921,777831,726,1019,157,1019,1851,224,157,224,619,0,0,0
392,1306,37048,-32040,736460,1,1,1,42171,-23493,738799,757,1095,131,1095,2015,196,131,196,586,0,0,0
393,1306,30631,-20225,699904,-1,-1,-1,25297,-29309,697747,786,1168,110,1168,2172,172,110,172,560,0,0,0
394,1306,15671,-26954,661128,-1,-1,-1,10148,-36535,659166,813,1236,87,1236,2324,142,87,142,538,0,0,0
395,1306,1803,-35716,624759,1,1,-1,7185,-26209,623869,836,1296,63,1296,2463,106,63,106,520,0,0,0
396,1306,1231,-25512,591379,-1,-1,-1,-4614,-35963,589764,856,1351,45,1351,2594,79,45,79,506,0,0,0
397,1306,-10393,-37305,559263,1,1,1,-4421,-26494,560709,873,1401,25,1401,2713,45,25,45,495,0,0,0
398,1306,-8517,-27754,531673,1,1,-1,-2483,-16719,530523,888,1444,12,1444,2819,22,12,22,486,0,0,0
399,1306,-5118,-17517,502999,1,1,1,1087,-6054,504254,902,1484,4,1484,2918,9,4,9,480,0,0,0
400,1306,-188,-5923,478060,1,-1,-1,-1823,-9902,476846,913,1519,3,1519,3009,5,3,5,475,0,0,0
401,1306,-3338,-10513,452091,-1,-1,-1,-9766,-22585,450902,923,1549,-1,1549,3089,-2,-1,-2,471,0,0,0
402,1306,-12343,-25464,427628,1,1,-1,-5796,-13085,426367,931,1577,-10,1577,3163,-17,-10,-17,468,0,0,0
403,1306,-7273,-14881,404271,-1,-1,-1,-13848,-27415,403181,937,1601,-13,1601,3232,-22,-13,-22,466,0,0,0
404,1306,-16705,-31826,382489,1,-1,1,-18594,-36391,383716,942,1624,-22,1624,3295,-39,-22,-39,464,0,0,0
405,1306,-22372,-42535,364225,-1,-1,1,-29199,-55696,365644,948,1644,-33,1644,3353,-59,-33,-59,462,0,0,0
406,1306,-34895,-65649,347706,-1,1,-1,-32864,-60774,346417,954,1665,-50,1665,3410,-91,-50,-91,461,0,0,0
407,1306,-38967,-72332,329723,-1,-1,-1,-45665,-85401,329031,958,1680,-65,1680,3457,-121,-65,-120,463,0,0,0
408,1306,-54362,-101974,314476,1,1,1,-47672,-88864,315007,960,1693,-87,1693,3496,-164,-87,-164,466,0,0,0
409,1306,-56736,-106583,301405,-1,1,1,-55020,-102232,302349,963,1707,-105,1707,3537,-200,-105,-200,470,0,0,0
410,1306,-65463,-123107,290308,1,-1,-1,-67154,-127420,289401,966,1718,-124,1718,3569,-238,-124,-238,475,0,0,0
411,1306,-80431,-153496,279952,1,1,1,-73808,-140389,280048,967,1727,-149,1727,3596,-287,-149,-287,483,0,0,0
412,1306,-88503,-169481,272269,-1,1,-1,-86016,-163615,270581,967,1730,-173,1730,3610,-335,-173,-335,492,0,0,0
413,1306,-103189,-198005,265728,1,1,-1,-95655,-183079,262904,967,1733,-202,1733,3623,-391,-202,-391,505,0,0,0
414,1306,-114999,-221783,260707,1,-1,1,-117649,-227983,262612,967,1734,-232,1734,3629,-448,-232,-448,520,0,0,0
415,1306,-141945,-275573,266527,-1,-1,-1,-148255,-288143,267218,964,1728,-272,1728,3616,-526,-272,-526,545,0,0,0
416,1306,-178976,-347469,281285,-1,1,1,-177792,-344108,281967,959,1713,-328,1713,3577,-631,-328,-631,585,0,0,0
417,1306,-214199,-413234,307287,-1,1,-1,-211225,-406465,304691,950,1685,-391,1685,3505,-748,-391,-748,642,0,0,0
418,1306,-253730,-484975,344819,1,1,1,-248196,-474094,343193,939,1647,-462,1647,3401,-874,-462,-875,720,0,0,0
419,1306,-296891,-559438,401759,1,1,-1,-288983,-544295,395647,922,1591,-539,1590,3247,-1002,-539,-1002,823,0,0,0
420,1306,-343326,-632803,476659,-1,1,1,-343243,-631586,477754,898,1514,-616,1514,3039,-1119,-616,-1119,953,0,0,0
421,1306,-403306,-716673,591686,1,-1,-1,-402970,-717143,590199,868,1411,-698,1411,2765,-1223,-698,-1223,1123,0,0,0
422,1306,-466258,-785414,742181,-1,-1,1,-473730,-798338,750976,831,1279,-778,1279,2423,-1289,-778,-1289,1332,0,0,0
423,1306,-535344,-826583,946369,-1,-1,1,-542440,-838001,955980,782,1110,-847,1110,2007,-1288,-847,-1288,1574,0,0,0
424,1306,-592558,-797365,1180179,1,-1,-1,-590767,-795991,1176268,724,912,-885,912,1555,-1183,-885,-1183,1812,0,0,0
425,1306,-616773,-671602,1387801,1,1,-1,-610988,-664328,1377943,659,707,-873,707,1143,-966,-873,-966,1970,0,0,0
426,1306,-602484,-466263,1529653,1,-1,1,-604399,-468829,1534500,590,522,-803,522,836,-678,-803,-678,1986,0,0,0
427,1306,-557211,-225648,1598502,-1,1,1,-559356,-225942,1604062,524,379,-687,379,658,-390,-687,-390,1853,0,0,0
428,1306,-476627,11334,1573272,1,-1,-1,-474774,11005,1568139,471,297,-544,297,596,-168,-544,-168,1611,0,0,0
429,1306,-369360,194844,1470563,-1,-1,-1,-370144,192682,1468235,437,278,-403,278,609,-40,-403,-40,1339,0,0,0
430,1306,-256939,311497,1346240,1,1,1,-255792,314013,1348402,425,307,-280,307,662,16,-280,16,1100,0,0,0
431,1306,-146604,378040,1233433,1,-1,1,-146894,377183,1235234,434,367,-179,367,741,39,-179,39,919,0,0,0
