step,state_0_int,state_1_int,state_2_int,cov_00_int,cov_01_int,cov_02_int,cov_10_int,cov_11_int,cov_12_int,cov_20_int,cov_21_int,cov_22_int
0,74933,148892,80770,11158,4144,76,4144,20034,4,76,3,13849
1,85949,146274,57429,1963,1142,24,1142,5315,9,24,9,2535
2,97888,178708,67336,647,385,18,385,1505,10,18,10,907
3,117942,224695,72771,354,272,21,272,801,16,21,16,535
4,145466,292939,88835,258,236,24,236,608,23,24,23,390
5,180384,371058,115965,222,216,28,216,534,33,28,33,321
6,226178,468402,155049,206,202,35,202,496,44,35,44,286
7,276699,570100,216332,198,191,43,191,470,57,43,57,269
8,340104,687307,311320,194,183,52,183,449,71,52,71,265
9,412465,806832,448277,192,173,64,173,425,84,64,84,270
10,492380,910701,639583,190,160,76,160,395,94,76,94,283
11,573852,970322,887162,187,144,87,144,359,98,87,98,301
12,641579,944565,1175726,184,124,95,124,320,92,95,92,320
13,687672,806253,1473813,180,102,96,102,282,74,96,74,331
14,684228,537822,1698810,176,80,90,80,253,48,90,48,327
15,624988,193014,1789853,173,64,76,64,238,23,76,23,308
16,517869,-134008,1739087,172,57,56,57,234,6,56,6,278
17,378255,-377347,1590013,173,60,34,60,237,-3,34,-3,251
18,229130,-517959,1424165,175,69,13,70,245,-8,13,-8,234
19,84268,-585810,1288892,178,82,-5,82,255,-13,-5,-13,226
20,-37454,-601837,1202281,181,94,-20,94,267,-20,-20,-20,226
21,-137032,-593848,1160110,183,104,-32,104,278,-28,-32,-28,230
22,-219243,-570573,1153206,185,109,-42,109,285,-36,-42,-36,236
23,-278999,-532756,1172839,186,111,-49,111,289,-42,-49,-42,243
24,-320180,-482386,1201642,186,111,-53,111,288,-45,-53,-45,249
25,-344161,-420427,1230098,187,109,-55,109,285,-45,-55,-45,253
26,-352167,-345363,1250431,186,107,-55,107,281,-42,-55,-42,254
27,-341693,-265826,1252791,186,105,-52,105,278,-39,-52,-39,252
28,-319758,-190923,1238051,186,104,-48,104,277,-34,-48,-34,249
29,-289834,-122882,1207111,187,105,-43,105,279,-30,-43,-30,244
30,-255588,-71233,1162853,188,108,-37,108,283,-26,-37,-26,239
31,-221047,-35128,1111824,189,112,-31,112,288,-23,-31,-23,234
32,-184706,-6285,1057561,189,117,-26,117,295,-20,-26,-20,229
33,-147040,18991,1000051,190,122,-21,122,303,-17,-21,-17,226
34,-114808,31916,946197,191,128,-16,128,312,-14,-16,-14,224
35,-90729,29429,897438,192,133,-12,133,321,-12,-12,-12,222
36,-67953,30969,849300,193,137,-9,137,330,-10,-9,-9,221
37,-50130,29903,801804,194,142,-7,142,340,-8,-7,-8,220
38,-34165,30287,760418,195,146,-5,146,349,-6,-5,-6,220
39,-22740,28159,721492,196,149,-3,149,356,-4,-3,-4,220
40,-14716,25578,683697,195,152,-2,152,362,-2,-2,-2,219
41,-8969,25610,645769,195,155,-1,155,369,-1,-1,-1,219
42,-1828,25540,613229,195,158,0,158,376,0,0,0,219
43,3283,24493,580253,195,160,0,160,381,1,0,1,219
44,7202,25468,551288,196,162,1,162,387,2,1,2,219
45,13312,32068,519488,196,165,1,165,392,2,1,2,219
46,18998,37126,492812,196,167,2,167,398,3,2,3,219
47,22837,40864,466553,196,169,3,169,403,4,3,4,219
48,24923,42973,442865,195,171,4,171,408,5,4,6,219
49,26143,45149,422676,195,172,5,172,411,6,5,6,219
50,28478,50088,403638,195,172,6,172,415,7,6,7,219
51,32319,56885,383554,195,173,6,173,419,8,6,8,219
52,37862,66213,365922,196,175,6,175,421,9,6,9,220
53,44132,77548,345172,196,177,8,177,425,10,8,10,220
54,49776,88630,329335,196,177,8,177,428,12,8,12,220
55,53670,98102,313665,196,178,10,178,431,14,10,14,220
56,65378,121092,299820,195,179,11,178,432,15,11,15,220
57,76737,145068,289338,195,179,13,179,434,18,13,18,220
58,89800,170144,279109,194,179,15,179,435,21,15,21,221
59,108320,208950,273628,194,179,17,179,435,24,17,24,222
60,129723,252901,277557,194,179,20,179,434,29,20,29,222
61,155753,301878,284413,194,178,25,178,433,35,25,35,224
62,192402,370856,301309,194,177,30,177,433,42,30,42,226
63,235063,449256,333083,193,175,37,175,428,50,37,50,230
64,283577,533954,386073,192,173,44,172,421,60,44,61,237
65,333250,618012,462688,191,167,53,167,409,70,53,70,246
66,392105,703810,571700,191,161,62,161,394,79,62,79,257
67,456010,777275,717253,190,152,71,152,372,86,71,86,271
68,517248,812487,902624,188,140,79,140,346,88,79,88,286
69,571174,795062,1113197,185,126,85,126,318,84,85,84,299
70,603337,696660,1324386,183,109,87,109,288,72,87,72,308
71,602650,517400,1489764,180,93,83,93,265,55,83,55,308
72,568697,289808,1576063,178,80,74,80,250,37,74,37,297
73,493069,52721,1564257,177,73,60,73,244,22,60,22,279
