step,state_0_int,state_1_int,state_2_int,cov_00_int,cov_01_int,cov_02_int,cov_10_int,cov_11_int,cov_12_int,cov_20_int,cov_21_int,cov_22_int
90,-290617,-277009,963582,722,933,-498,933,1608,-679,-498,-679,949
91,-285021,-259608,957699,717,922,-499,922,1588,-677,-499,-677,961
92,-273774,-238917,945719,713,915,-495,915,1577,-669,-495,-669,963
93,-265857,-229084,932837,711,915,-486,915,1579,-657,-486,-657,955
94,-260289,-225019,922922,711,921,-476,921,1594,-647,-476,-647,942
95,-256398,-224210,909808,712,929,-467,929,1614,-639,-467,-639,929
96,-247153,-215576,895910,715,941,-460,941,1641,-635,-460,-635,918
97,-239508,-210719,878015,719,954,-452,954,1673,-630,-452,-630,904
98,-237660,-217407,862775,724,971,-444,971,1712,-626,-444,-626,888
99,-232497,-217314,845934,731,989,-439,989,1752,-628,-439,-628,877
100,-224656,-214316,827170,738,1009,-436,1009,1796,-631,-436,-631,867
101,-229258,-231670,818012,745,1030,-433,1030,1842,-634,-433,-634,856
102,-236366,-250642,812445,752,1048,-436,1048,1882,-644,-436,-644,853
103,-241907,-265391,808743,757,1062,-444,1062,1911,-660,-444,-660,857
104,-246889,-277484,803883,762,1072,-454,1072,1931,-679,-454,-679,867
105,-257159,-296012,804320,765,1077,-465,1077,1942,-698,-465,-698,880
106,-261835,-302867,807838,766,1078,-480,1078,1942,-720,-480,-720,900
107,-273894,-321196,814696,765,1075,-493,1075,1934,-738,-493,-738,919
108,-286953,-338663,826442,764,1068,-509,1068,1915,-757,-509,-757,945
109,-296677,-348848,840385,759,1054,-526,1054,1881,-775,-526,-775,976
110,-306199,-356572,857180,753,1035,-541,1035,1838,-787,-541,-787,1007
111,-317879,-365230,881592,746,1013,-553,1013,1788,-794,-553,-794,1039
112,-324310,-361009,901901,736,985,-564,985,1728,-795,-564,-795,1070
113,-329723,-356572,922559,726,956,-570,956,1668,-788,-570,-788,1096
114,-331747,-344222,940922,715,927,-571,927,1607,-774,-571,-774,1116
115,-330890,-328305,955997,705,900,-567,900,1553,-754,-567,-754,1126
