step,start_cycle,result_cycle,cycles
0,4,1204,1200
1,1205,2405,1200
2,2406,3606,1200
3,3607,4807,1200
4,4808,6008,1200
5,6009,7209,1200
6,7210,8410,1200
7,8411,9611,1200
8,9612,10812,1200
9,10813,12013,1200
10,12014,13214,1200
11,13215,14415,1200
12,14416,15616,1200
13,15617,16817,1200
14,16818,18018,1200
15,18019,19219,1200
16,19220,20420,1200
17,20421,21621,1200
18,21622,22822,1200
19,22823,24023,1200
20,24024,25224,1200
21,25225,26425,1200
22,26426,27626,1200
23,27627,28827,1200
24,28828,30028,1200
25,30029,31229,1200
26,31230,32430,1200
27,32431,33631,1200
28,33632,34832,1200
29,34833,36033,1200
30,36034,37234,1200
31,37235,38435,1200
32,38436,39636,1200
33,39637,40837,1200
34,40838,42038,1200
35,42039,43239,1200
36,43240,44440,1200
37,44441,45641,1200
38,45642,46842,1200
39,46843,48043,1200
40,48044,49244,1200
41,49245,50445,1200
42,50446,51646,1200
43,51647,52847,1200
44,52848,54048,1200
45,54049,55249,1200
46,55250,56450,1200
47,56451,57651,1200
48,57652,58852,1200
49,58853,60053,1200
50,60054,61254,1200
51,61255,62455,1200
52,62456,63656,1200
53,63657,64857,1200
54,64858,66058,1200
55,66059,67259,1200
56,67260,68460,1200
57,68461,69661,1200
58,69662,70862,1200
59,70863,72063,1200
60,72064,73264,1200
61,73265,74465,1200
62,74466,75666,1200
63,75667,76867,1200
64,76868,78068,1200
65,78069,79269,1200
66,79270,80470,1200
67,80471,81671,1200
68,81672,82872,1200
69,82873,84073,1200
70,84074,85274,1200
71,85275,86475,1200
72,86476,87676,1200
73,87677,88877,1200
74,88878,90078,1200
75,90079,91279,1200
76,91280,92480,1200
77,92481,93681,1200
78,93682,94882,1200
79,94883,96083,1200
80,96084,97284,1200
81,97285,98485,1200
82,98486,99686,1200
83,99687,100887,1200
84,100888,102088,1200
85,102089,103289,1200
86,103290,104490,1200
87,104491,105691,1200
88,105692,106892,1200
89,106893,108093,1200
90,108094,109294,1200
91,109295,110495,1200
92,110496,111696,1200
93,111697,112897,1200
94,112898,114098,1200
95,114099,115299,1200
96,115300,116500,1200
97,116501,117701,1200
98,117702,118902,1200
99,118903,120103,1200
100,120104,121304,1200
101,121305,122505,1200
102,122506,123706,1200
103,123707,124907,1200
104,124908,126108,1200
105,126109,127309,1200
106,127310,128510,1200
107,128511,129711,1200
108,129712,130912,1200
109,130913,132113,1200
110,132114,133314,1200
111,133315,134515,1200
112,134516,135716,1200
113,135717,136917,1200
114,136918,138118,1200
115,138119,139319,1200
116,139320,140520,1200
117,140521,141721,1200
118,141722,142922,1200
119,142923,144123,1200
120,144124,145324,1200
121,145325,146525,1200
122,146526,147726,1200
123,147727,148927,1200
124,148928,150128,1200
125,150129,151329,1200
126,151330,152530,1200
127,152531,153731,1200
128,153732,154932,1200
129,154933,156133,1200
130,156134,157334,1200
131,157335,158535,1200
132,158536,159736,1200
133,159737,160937,1200
134,160938,162138,1200
135,162139,163339,1200
136,163340,164540,1200
137,164541,165741,1200
138,165742,166942,1200
139,166943,168143,1200
140,168144,169344,1200
141,169345,170545,1200
142,170546,171746,1200
143,171747,172947,1200
144,172948,174148,1200
145,174149,175349,1200
146,175350,176550,1200
147,176551,177751,1200
148,177752,178952,1200
149,178953,180153,1200
150,180154,181354,1200
151,181355,182555,1200
152,182556,183756,1200
153,183757,184957,1200
154,184958,186158,1200
155,186159,187359,1200
156,187360,188560,1200
157,188561,189761,1200
158,189762,190962,1200
159,190963,192163,1200
160,192164,193364,1200
161,193365,194565,1200
162,194566,195766,1200
163,195767,196967,1200
164,196968,198168,1200
165,198169,199369,1200
166,199370,200570,1200
167,200571,201771,1200
168,201772,202972,1200
169,202973,204173,1200
170,204174,205374,1200
171,205375,206575,1200
172,206576,207776,1200
173,207777,208977,1200
174,208978,210178,1200
