step,state_0_int,state_1_int,state_2_int,cov_00_int,cov_01_int,cov_02_int,cov_10_int,cov_11_int,cov_12_int,cov_20_int,cov_21_int,cov_22_int
0,74933,148892,80770,11158,4144,76,4144,20034,4,76,3,13849
1,85949,146274,57429,1963,1142,24,1142,5315,9,24,9,2535
2,97888,178708,67336,647,385,18,385,1505,10,18,10,907
3,117942,224695,72771,354,272,21,272,801,16,21,16,535
4,145466,292939,88835,258,236,24,236,608,23,24,23,390
