step,cycles,threshold_0_int,threshold_1_int,threshold_2_int,observation_0,observation_1,observation_2,state_0_int,state_1_int,state_2_int,cov_00_int,cov_01_int,cov_02_int,cov_10_int,cov_11_int,cov_12_int,cov_20_int,cov_21_int,cov_22_int,overflow,numeric_error,solver_error
0,654,68612,98543,65028,1,-1,1,95350,61445,112465,20269,8884,251,8884,32079,67,251,67,25197,0,0,0
1,654,93378,105728,110712,1,1,-1,124124,155287,84388,8201,6753,234,6753,18351,139,234,139,11514,0,0,0
2,654,135494,217124,92824,-1,-1,-1,113621,178418,75080,4192,4938,301,4938,11850,273,301,273,6369,0,0,0
3,654,130715,236763,84621,1,-1,-1,127407,224746,73861,2589,3816,298,3816,8593,339,298,339,4091,0,0,0
4,654,151084,290910,89026,-1,1,1,154953,301202,96910,1861,3133,313,3133,6865,421,313,421,2913,0,0,0
